feature,missing_count,total_count,missing_fraction
recording_id,0,1,0.0
relative_path,0,1,0.0
feature_schema_version,0,1,0.0
early_chatter_band_energy_growth,0,1,0.0
early_energy_growth_rate,0,1,0.0
early_hegr,0,1,0.0
early_instantaneous_amplitude_max,0,1,0.0
early_instantaneous_amplitude_mean,0,1,0.0
early_instantaneous_energy_max,0,1,0.0
early_instantaneous_energy_mean,0,1,0.0
early_short_term_spectral_energy_growth,0,1,0.0
freq_band_energy_ratio_band_1_0_250_hz,0,1,0.0
freq_band_energy_ratio_band_2_250_750_hz,0,1,0.0
freq_band_energy_ratio_band_3_750_1750_hz,0,1,0.0
freq_band_energy_ratio_band_4_1750_4000_hz,0,1,0.0
freq_centroid,0,1,0.0
freq_chatter_band_ratio,0,1,0.0
freq_entropy,0,1,0.0
freq_harmonics_ratio,1,1,1.0
freq_peak,0,1,0.0
freq_sideband_ratio,1,1,1.0
freq_spectral_kurtosis,0,1,0.0
freq_spindle_harmonic_ratio,1,1,1.0
freq_spread,0,1,0.0
freq_tooth_harmonic_ratio,1,1,1.0
imf1_correlation,0,1,0.0
imf_1_bandwidth_hz,0,1,0.0
imf_1_centre_frequency_hz,0,1,0.0
imf_1_energy_ratio,0,1,0.0
imf_1_gate,0,1,0.0
imf_1_kurtosis,0,1,0.0
imf_1_source_correlation,0,1,0.0
imf_1_spectral_entropy,0,1,0.0
imf_2_bandwidth_hz,0,1,0.0
imf_2_centre_frequency_hz,0,1,0.0
imf_2_energy_ratio,0,1,0.0
imf_2_gate,0,1,0.0
imf_2_kurtosis,0,1,0.0
imf_2_source_correlation,0,1,0.0
imf_2_spectral_entropy,0,1,0.0
imf_3_bandwidth_hz,0,1,0.0
imf_3_centre_frequency_hz,0,1,0.0
imf_3_energy_ratio,0,1,0.0
imf_3_gate,0,1,0.0
imf_3_kurtosis,0,1,0.0
imf_3_source_correlation,0,1,0.0
imf_3_spectral_entropy,0,1,0.0
imf_4_bandwidth_hz,0,1,0.0
imf_4_centre_frequency_hz,0,1,0.0
imf_4_energy_ratio,0,1,0.0
imf_4_gate,0,1,0.0
imf_4_kurtosis,0,1,0.0
imf_4_source_correlation,0,1,0.0
imf_4_spectral_entropy,0,1,0.0
imf_5_bandwidth_hz,0,1,0.0
imf_5_centre_frequency_hz,0,1,0.0
imf_5_energy_ratio,0,1,0.0
imf_5_gate,0,1,0.0
imf_5_kurtosis,0,1,0.0
imf_5_source_correlation,0,1,0.0
imf_5_spectral_entropy,0,1,0.0
imf_6_bandwidth_hz,0,1,0.0
imf_6_centre_frequency_hz,0,1,0.0
imf_6_energy_ratio,0,1,0.0
imf_6_gate,0,1,0.0
imf_6_kurtosis,0,1,0.0
imf_6_source_correlation,0,1,0.0
imf_6_spectral_entropy,0,1,0.0
imf_7_bandwidth_hz,0,1,0.0
imf_7_centre_frequency_hz,0,1,0.0
imf_7_energy_ratio,0,1,0.0
imf_7_gate,0,1,0.0
imf_7_kurtosis,0,1,0.0
imf_7_source_correlation,0,1,0.0
imf_7_spectral_entropy,0,1,0.0
imf_8_bandwidth_hz,0,1,0.0
imf_8_centre_frequency_hz,0,1,0.0
imf_8_energy_ratio,0,1,0.0
imf_8_gate,0,1,0.0
imf_8_kurtosis,0,1,0.0
imf_8_source_correlation,0,1,0.0
imf_8_spectral_entropy,0,1,0.0
imf_9_bandwidth_hz,0,1,0.0
imf_9_centre_frequency_hz,0,1,0.0
imf_9_energy_ratio,0,1,0.0
imf_9_gate,0,1,0.0
imf_9_kurtosis,0,1,0.0
imf_9_source_correlation,0,1,0.0
imf_9_spectral_entropy,0,1,0.0
imf_bandwidth_mean,0,1,0.0
imf_centre_freq_mean,0,1,0.0
imf_count,0,1,0.0
imf_entropy_mean,0,1,0.0
imf_frequency_ordering_score,0,1,0.0
imf_max_adjacent_correlation,0,1,0.0
imf_max_energy_ratio,0,1,0.0
imf_mode_mixing_index,0,1,0.0
imf_orthogonality_index,0,1,0.0
imf_selected_count,0,1,0.0
physics_chatter_band_energy,0,1,0.0
physics_chatter_to_harmonic_energy_ratio,1,1,1.0
physics_forced_vibration_energy,1,1,1.0
physics_frequency_proximity,0,1,0.0
physics_peak_to_spindle_harmonic_distance_hz,1,1,1.0
physics_peak_to_tooth_harmonic_distance_hz,1,1,1.0
physics_sideband_strength,1,1,1.0
physics_spindle_frequency_hz,1,1,1.0
physics_tooth_passing_frequency_hz,1,1,1.0
time_clearance_factor,0,1,0.0
time_crest_factor,0,1,0.0
time_impulse_factor,0,1,0.0
time_kurtosis,0,1,0.0
time_mean_absolute,0,1,0.0
time_peak_to_peak,0,1,0.0
time_rms,0,1,0.0
time_shape_factor,0,1,0.0
time_skewness,0,1,0.0
time_std,0,1,0.0
time_variance,0,1,0.0
time_zero_crossing_rate,0,1,0.0
wavelet_cA_4_energy,0,1,0.0
wavelet_cA_4_energy_ratio,0,1,0.0
wavelet_cD_1_energy,0,1,0.0
wavelet_cD_1_energy_ratio,0,1,0.0
wavelet_cD_2_energy,0,1,0.0
wavelet_cD_2_energy_ratio,0,1,0.0
wavelet_cD_3_energy,0,1,0.0
wavelet_cD_3_energy_ratio,0,1,0.0
wavelet_cD_4_energy,0,1,0.0
wavelet_cD_4_energy_ratio,0,1,0.0
wavelet_dominant_ridge_hz,0,1,0.0
wavelet_entropy,0,1,0.0
wavelet_high_freq_ratio,0,1,0.0
wavelet_time_frequency_concentration,0,1,0.0
window_index,0,1,0.0
start_index,0,1,0.0
end_index,0,1,0.0
window_start_seconds,0,1,0.0
window_end_seconds,0,1,0.0
